trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.66, 'e': 0.1999999999999993}",20,0,15.915407858441357,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.66, 'e': 0.19499999999999929}",25,5,22.328877222577763,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.66, 'e': 0.18999999999999928}",25,0,17.677171690480044,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.66, 'e': 0.18499999999999928}",30,0,32.236063222848536,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.66, 'e': 0.17999999999999927}",25,9,26.812668376483277,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.66, 'e': 0.17499999999999927}",25,7,10.90507442867947,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.66, 'e': 0.16999999999999926}",25,3,-1.795789991318399,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.66, 'e': 0.16499999999999926}",20,0,-37.71047631975216,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
128,False,"{'a': 0.66, 'e': 0.15999999999999925}",30,0,-24.225250928640904,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
129,False,"{'a': 0.66, 'e': 0.15499999999999925}",20,6,27.11039176351884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.66, 'e': 0.14999999999999925}",20,0,4.0891203582339015,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.66, 'e': 0.14499999999999924}",35,18,13.069377969796228,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.66, 'e': 0.13999999999999924}",30,0,10.582571849546898,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
133,False,"{'a': 0.66, 'e': 0.13499999999999923}",30,19,6.299889775414211,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.66, 'e': 0.12999999999999923}",20,0,33.75857254736392,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.66, 'e': 0.12499999999999922}",20,0,20.39699467863635,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.66, 'e': 0.11999999999999922}",20,15,7.60427803846804,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.66, 'e': 0.11499999999999921}",20,0,-21.484154435248414,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.66, 'e': 0.10999999999999921}",20,12,11.72929446349105,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.66, 'e': 0.1049999999999992}",20,12,14.333496723424837,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.66, 'e': 0.0999999999999992}",30,0,-28.99914538918105,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
141,False,"{'a': 0.66, 'e': 0.0949999999999992}",25,13,19.882281862703316,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.66, 'e': 0.08999999999999919}",30,17,12.450837657324703,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.66, 'e': 0.08499999999999919}",20,12,13.01427515134056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.66, 'e': 0.07999999999999918}",20,15,12.067792365755723,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.66, 'e': 0.07499999999999918}",20,10,13.176781057384684,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.66, 'e': 0.06999999999999917}",25,13,19.484534097509613,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.66, 'e': 0.06499999999999917}",25,0,-9.360976626435642,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
148,False,"{'a': 0.66, 'e': 0.05999999999999917}",20,10,20.533388879822333,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.66, 'e': 0.054999999999999175}",35,20,18.049938850542297,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.66, 'e': 0.04999999999999918}",20,5,25.16399407559914,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.66, 'e': 0.04499999999999918}",30,9,38.308324858203115,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.66, 'e': 0.03999999999999918}",20,14,10.140660222777754,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.66, 'e': 0.034999999999999185}",20,11,16.28636154386139,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.66, 'e': 0.029999999999999184}",25,0,34.7426239371125,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.66, 'e': 0.024999999999999183}",25,16,8.15313613583821,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,20,17.34118288842465,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,-4.729909608704382,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,34.994725486218286,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,22.58453144466667,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,12,18.564881200923057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,8,30.417776259551324,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,10,28.23424958898298,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,16.201647009902132,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,5,10.485822162281575,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,25,20.221356888655095,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
